,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
319,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
320,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
321,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
322,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
323,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
324,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
325,E08.39,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
326,E08.39,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
327,E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
328,E08.40,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
329,E08.41,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
330,E08.41,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
331,E08.42,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
332,E08.42,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
333,E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
334,E08.43,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
335,E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
336,E08.44,Diabetes mellitus due to underlying condition with diabetic amyotrophy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
337,E08.49,Diabetes mellitus due to underlying condition with other diabetic neurological complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
338,E08.49,Diabetes mellitus due to underlying condition with other diabetic neurological complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
339,E08.51,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
340,E08.51,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
341,E08.52,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
342,E08.52,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
343,E08.59,Diabetes mellitus due to underlying condition with other circulatory complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
344,E08.59,Diabetes mellitus due to underlying condition with other circulatory complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
345,E08.610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
346,E08.610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
347,E08.618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
348,E08.618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
349,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
350,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
351,E08.621,Diabetes mellitus due to underlying condition with foot ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
352,E08.621,Diabetes mellitus due to underlying condition with foot ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
353,E08.622,Diabetes mellitus due to underlying condition with other skin ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
354,E08.622,Diabetes mellitus due to underlying condition with other skin ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
355,E08.628,Diabetes mellitus due to underlying condition with other skin complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
356,E08.628,Diabetes mellitus due to underlying condition with other skin complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
357,E08.630,Diabetes mellitus due to underlying condition with periodontal disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
358,E08.630,Diabetes mellitus due to underlying condition with periodontal disease,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
359,E08.638,Diabetes mellitus due to underlying condition with other oral complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
360,E08.638,Diabetes mellitus due to underlying condition with other oral complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
361,E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
362,E08.641,Diabetes mellitus due to underlying condition with hypoglycemia with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
363,E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
364,E08.649,Diabetes mellitus due to underlying condition with hypoglycemia without coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
365,E08.65,Diabetes mellitus due to underlying condition with hyperglycemia,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
366,E08.65,Diabetes mellitus due to underlying condition with hyperglycemia,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
367,E08.69,Diabetes mellitus due to underlying condition with other specified complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
368,E08.69,Diabetes mellitus due to underlying condition with other specified complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
369,E08.8,Diabetes mellitus due to underlying condition with unspecified complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
370,E08.8,Diabetes mellitus due to underlying condition with unspecified complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
371,E08.9,Diabetes mellitus due to underlying condition without complications,END002,Diabetes mellitus without complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
372,E08.9,Diabetes mellitus due to underlying condition without complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
373,E09.00,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
374,E09.00,Drug or chemical induced diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
375,E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
376,E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
377,E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
378,E09.10,Drug or chemical induced diabetes mellitus with ketoacidosis without coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
379,E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
380,E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
381,E09.21,Drug or chemical induced diabetes mellitus with diabetic nephropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
382,E09.21,Drug or chemical induced diabetes mellitus with diabetic nephropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
383,E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
384,E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
385,E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
386,E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
387,E09.311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
388,E09.311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
389,E09.319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
390,E09.319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
391,E09.321,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
392,E09.321,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
393,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
394,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
395,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
396,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
397,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
398,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
399,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
400,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
401,E09.329,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
402,E09.329,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
403,E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
404,E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
405,E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
406,E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
407,E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
408,E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
409,E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
410,E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
411,E09.331,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
412,E09.331,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
413,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
414,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
415,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
416,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
417,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
418,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
419,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
420,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
421,E09.339,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
422,E09.339,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
423,E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
424,E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
425,E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
426,E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
427,E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
428,E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
429,E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
430,E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
431,E09.341,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
432,E09.341,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
433,E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
434,E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
435,E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
436,E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
437,E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
438,E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
439,E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
440,E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
441,E09.349,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
442,E09.349,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E09 Drug or chemical induced diabetes mellitu,Diabetes
