ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Risk factors description
E08339,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08339,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083392,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083392,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083393,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083393,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083399,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083399,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08351,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08351,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08359,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08359,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E083599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0836,Diabetes mellitus due to underlying condition with diabetic cataract,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0836,Diabetes mellitus due to underlying condition with diabetic cataract,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0837X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0841,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0841,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0843,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0843,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0849,Diabetes mellitus due to underlying condition with other diabetic neurological complication,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0849,Diabetes mellitus due to underlying condition with other diabetic neurological complication,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0859,Diabetes mellitus due to underlying condition with other circulatory complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E0859,Diabetes mellitus due to underlying condition with other circulatory complications,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08620,Diabetes mellitus due to underlying condition with diabetic dermatitis,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08620,Diabetes mellitus due to underlying condition with diabetic dermatitis,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08621,Diabetes mellitus due to underlying condition with foot ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08621,Diabetes mellitus due to underlying condition with foot ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08622,Diabetes mellitus due to underlying condition with other skin ulcer,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08622,Diabetes mellitus due to underlying condition with other skin ulcer,END006,"Diabetes mellitus, due to underlying condition, drug or chemical induced, or other specified type",N,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
E08628,Diabetes mellitus due to underlying condition with other skin complications,END003,Diabetes mellitus with complication,Y,02 Diabetes mellitus,E08 Diabetes mellitus due to underlying condition,Diabetes
