icd,group
I48.21,Atrial fibrillation
I48.91,Atrial fibrillation
I65.01,Occlusion/Stenosis of cerebral or precerebral artery
I65.02,Occlusion/Stenosis of cerebral or precerebral artery
I65.03,Occlusion/Stenosis of cerebral or precerebral artery
I65.09,Occlusion/Stenosis of cerebral or precerebral artery
I65.1,Occlusion/Stenosis of cerebral or precerebral artery
I65.21,Occlusion/Stenosis of cerebral or precerebral artery
I65.22,Occlusion/Stenosis of cerebral or precerebral artery
I65.23,Occlusion/Stenosis of cerebral or precerebral artery
I65.29,Occlusion/Stenosis of cerebral or precerebral artery
I65.8,Occlusion/Stenosis of cerebral or precerebral artery
I65.9,Occlusion/Stenosis of cerebral or precerebral artery
I66.01,Occlusion/Stenosis of cerebral or precerebral artery
I66.02,Occlusion/Stenosis of cerebral or precerebral artery
I66.03,Occlusion/Stenosis of cerebral or precerebral artery
I66.09,Occlusion/Stenosis of cerebral or precerebral artery
I66.11,Occlusion/Stenosis of cerebral or precerebral artery
I66.12,Occlusion/Stenosis of cerebral or precerebral artery
I66.13,Occlusion/Stenosis of cerebral or precerebral artery
I66.19,Occlusion/Stenosis of cerebral or precerebral artery
I66.21,Occlusion/Stenosis of cerebral or precerebral artery
I66.22,Occlusion/Stenosis of cerebral or precerebral artery
I66.23,Occlusion/Stenosis of cerebral or precerebral artery
I66.29,Occlusion/Stenosis of cerebral or precerebral artery
I66.3,Occlusion/Stenosis of cerebral or precerebral artery
I66.8,Occlusion/Stenosis of cerebral or precerebral artery
I66.9,Occlusion/Stenosis of cerebral or precerebral artery
I20.0,Coronary artery disease (CAD)
I20.1,Coronary artery disease (CAD)
I20.8,Coronary artery disease (CAD)
I20.9,Coronary artery disease (CAD)
I21.01,Coronary artery disease (CAD)
I21.02,Coronary artery disease (CAD)
I21.09,Coronary artery disease (CAD)
I21.11,Coronary artery disease (CAD)
I21.19,Coronary artery disease (CAD)
I21.21,Coronary artery disease (CAD)
I21.29,Coronary artery disease (CAD)
I21.3,Coronary artery disease (CAD)
I21.4,Coronary artery disease (CAD)
I21.9,Coronary artery disease (CAD)
I21.A1,Coronary artery disease (CAD)
I21.A9,Coronary artery disease (CAD)
I22.0,Coronary artery disease (CAD)
I22.1,Coronary artery disease (CAD)
I22.2,Coronary artery disease (CAD)
I22.8,Coronary artery disease (CAD)
I22.9,Coronary artery disease (CAD)
I23.0,Coronary artery disease (CAD)
I23.1,Coronary artery disease (CAD)
I23.2,Coronary artery disease (CAD)
I23.3,Coronary artery disease (CAD)
I23.4,Coronary artery disease (CAD)
I23.5,Coronary artery disease (CAD)
I23.6,Coronary artery disease (CAD)
I23.7,Coronary artery disease (CAD)
I23.8,Coronary artery disease (CAD)
I24.0,Coronary artery disease (CAD)
I24.1,Coronary artery disease (CAD)
I24.8,Coronary artery disease (CAD)
I24.9,Coronary artery disease (CAD)
I25.10,Coronary artery disease (CAD)
I25.110,Coronary artery disease (CAD)
I25.111,Coronary artery disease (CAD)
I25.118,Coronary artery disease (CAD)
I25.119,Coronary artery disease (CAD)
I25.2,Coronary artery disease (CAD)
I25.3,Coronary artery disease (CAD)
I25.41,Coronary artery disease (CAD)
I25.42,Coronary artery disease (CAD)
I25.5,Coronary artery disease (CAD)
I25.5,Coronary artery disease (CAD)
I25.6,Coronary artery disease (CAD)
I25.700,Coronary artery disease (CAD)
I25.701,Coronary artery disease (CAD)
I25.708,Coronary artery disease (CAD)
I25.709,Coronary artery disease (CAD)
I25.710,Coronary artery disease (CAD)
I25.711,Coronary artery disease (CAD)
I25.718,Coronary artery disease (CAD)
I25.719,Coronary artery disease (CAD)
I25.720,Coronary artery disease (CAD)
I25.721,Coronary artery disease (CAD)
I25.728,Coronary artery disease (CAD)
I25.729,Coronary artery disease (CAD)
I25.730,Coronary artery disease (CAD)
I25.731,Coronary artery disease (CAD)
I25.738,Coronary artery disease (CAD)
I25.739,Coronary artery disease (CAD)
I25.750,Coronary artery disease (CAD)
I25.751,Coronary artery disease (CAD)
I25.758,Coronary artery disease (CAD)
I25.759,Coronary artery disease (CAD)
I25.760,Coronary artery disease (CAD)
I25.761,Coronary artery disease (CAD)
I25.768,Coronary artery disease (CAD)
I25.769,Coronary artery disease (CAD)
I25.790,Coronary artery disease (CAD)
I25.791,Coronary artery disease (CAD)
I25.798,Coronary artery disease (CAD)
I25.799,Coronary artery disease (CAD)
I25.810,Coronary artery disease (CAD)
I25.811,Coronary artery disease (CAD)
I25.812,Coronary artery disease (CAD)
I25.82,Coronary artery disease (CAD)
I25.83,Coronary artery disease (CAD)
I25.84,Coronary artery disease (CAD)
I25.89,Coronary artery disease (CAD)
I25.9,Coronary artery disease (CAD)
I67.4,Hx aneurysm
I67.3,Hx aneurysm
I67.4,Hx aneurysm
I67.1,Hx aneurysm
I67.2,Hx aneurysm
I67.3,Hx aneurysm
I67.5,Hx aneurysm
I67.6,Hx aneurysm
I67.7,Hx aneurysm
I67.81,Hx aneurysm
I67.82,Hx aneurysm
I67.83,Hx aneurysm
I67.841,Hx aneurysm
I67.848,Hx aneurysm
I67.850,Hx aneurysm
I67.858,Hx aneurysm
I67.89,Hx aneurysm
I67.9,Hx aneurysm
I67.0,Hx aneurysm
